query_type,table_name,c1,c2,c3,c4,c5,c6
COLUMN,chengyu,story_en,text,text,YES,null,9
COLUMN,class_attendance,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,class_attendance,class_id,uuid,uuid,YES,null,2
COLUMN,class_attendance,student_id,uuid,uuid,YES,null,3
COLUMN,class_attendance,date,date,date,NO,null,4
COLUMN,class_attendance,status,text,text,YES,null,5
COLUMN,class_attendance,recorded_by,uuid,uuid,YES,null,6
COLUMN,class_attendance,created_at,timestamp with time zone,timestamptz,YES,now(),7
COLUMN,class_enrollments,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,class_enrollments,class_id,uuid,uuid,YES,null,2
COLUMN,class_enrollments,student_id,uuid,uuid,YES,null,3
COLUMN,class_enrollments,enrolled_at,timestamp without time zone,timestamp,YES,now(),4
COLUMN,class_enrollments,status,character varying,varchar,YES,'active'::character varying,5
COLUMN,class_lessons,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,class_lessons,class_id,uuid,uuid,YES,null,2
COLUMN,class_lessons,title,text,text,NO,null,3
COLUMN,class_lessons,lesson_date,date,date,YES,null,4
COLUMN,class_lessons,start_time,time without time zone,time,YES,null,5
COLUMN,class_lessons,end_time,time without time zone,time,YES,null,6
COLUMN,class_lessons,room,text,text,YES,null,7
COLUMN,class_lessons,notes,text,text,YES,null,8
COLUMN,class_lessons,created_at,timestamp with time zone,timestamptz,YES,now(),9
COLUMN,class_students,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,class_students,class_id,uuid,uuid,YES,null,2
COLUMN,class_students,student_id,uuid,uuid,YES,null,3
COLUMN,class_students,status,text,text,YES,'active'::text,4
COLUMN,class_students,joined_at,timestamp with time zone,timestamptz,YES,now(),5
COLUMN,classes,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,classes,is_active,boolean,bool,YES,true,10
COLUMN,classes,created_at,timestamp without time zone,timestamp,YES,now(),11
COLUMN,classes,level,text,text,YES,null,12
COLUMN,classes,room,text,text,YES,null,13
COLUMN,classes,color,text,text,YES,'#c41e3a'::text,14
COLUMN,classes,school_id,uuid,uuid,YES,null,2
COLUMN,classes,teacher_id,uuid,uuid,YES,null,3
COLUMN,classes,name,character varying,varchar,NO,null,4
COLUMN,classes,name_zh,character varying,varchar,YES,null,5
COLUMN,classes,description,text,text,YES,null,6
COLUMN,classes,hsk_level,integer,int4,YES,1,7
COLUMN,classes,schedule,text,text,YES,null,8
COLUMN,classes,max_students,integer,int4,YES,30,9
COLUMN,custom_knowledge_points,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,custom_knowledge_points,class_id,uuid,uuid,YES,null,2
COLUMN,custom_knowledge_points,hsk_level,integer,int4,YES,null,3
COLUMN,custom_knowledge_points,label,text,text,YES,null,4
COLUMN,custom_knowledge_points,teacher_id,uuid,uuid,YES,null,5
COLUMN,custom_knowledge_points,created_at,timestamp with time zone,timestamptz,YES,now(),6
COLUMN,dataset_stats,project_id,text,text,YES,null,1
COLUMN,dataset_stats,unscored,bigint,int8,YES,null,10
COLUMN,dataset_stats,avg_quality,numeric,numeric,YES,null,11
COLUMN,dataset_stats,total_mb,numeric,numeric,YES,null,12
COLUMN,dataset_stats,total_images,bigint,int8,YES,null,2
COLUMN,dataset_stats,approved_count,bigint,int8,YES,null,3
COLUMN,dataset_stats,captioned_count,bigint,int8,YES,null,4
COLUMN,dataset_stats,score_5,bigint,int8,YES,null,5
COLUMN,dataset_stats,score_4,bigint,int8,YES,null,6
COLUMN,dataset_stats,score_3,bigint,int8,YES,null,7
COLUMN,dataset_stats,score_2,bigint,int8,YES,null,8
COLUMN,dataset_stats,score_1,bigint,int8,YES,null,9
COLUMN,dwxz_panda_assets,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,dwxz_panda_assets,emotion,text,text,NO,null,2
COLUMN,dwxz_panda_assets,label,text,text,YES,null,3
COLUMN,dwxz_panda_assets,color,text,text,YES,null,4
COLUMN,dwxz_panda_assets,prompt,text,text,YES,null,5
COLUMN,dwxz_panda_assets,image_url,text,text,YES,null,6
COLUMN,dwxz_panda_assets,updated_at,timestamp with time zone,timestamptz,YES,now(),7
COLUMN,events,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,events,is_active,boolean,bool,YES,true,10
COLUMN,events,created_by,uuid,uuid,YES,null,11
COLUMN,events,created_at,timestamp with time zone,timestamptz,YES,now(),12
COLUMN,events,updated_at,timestamp with time zone,timestamptz,YES,now(),13
COLUMN,events,title,character varying,varchar,YES,null,2
COLUMN,events,title_zh,character varying,varchar,YES,null,3
COLUMN,events,description,text,text,YES,null,4
COLUMN,events,description_zh,text,text,YES,null,5
COLUMN,events,start_date,timestamp with time zone,timestamptz,YES,null,6
COLUMN,events,end_date,timestamp with time zone,timestamptz,YES,null,7
COLUMN,events,location,character varying,varchar,YES,null,8
COLUMN,events,event_type,character varying,varchar,YES,null,9
COLUMN,exhibition_plans,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,exhibition_plans,updated_at,timestamp with time zone,timestamptz,YES,now(),10
COLUMN,exhibition_plans,product_id,text,text,NO,null,2
COLUMN,exhibition_plans,planned,boolean,bool,YES,false,3
COLUMN,exhibition_plans,notes,text,text,YES,''::text,4
COLUMN,exhibition_plans,quantity,integer,int4,YES,0,5
COLUMN,exhibition_plans,budget_cny,numeric,numeric,YES,0,6
COLUMN,exhibition_plans,supplier,text,text,YES,''::text,7
COLUMN,exhibition_plans,deadline,date,date,YES,null,8
COLUMN,exhibition_plans,created_at,timestamp with time zone,timestamptz,YES,now(),9
COLUMN,grades,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,grades,class_id,uuid,uuid,YES,null,2
COLUMN,grades,student_id,uuid,uuid,YES,null,3
COLUMN,grades,score,numeric,numeric,YES,null,4
COLUMN,grades,note,text,text,YES,null,5
COLUMN,grades,date,date,date,YES,CURRENT_DATE,6
COLUMN,grades,created_by,uuid,uuid,YES,null,7
COLUMN,grades,created_at,timestamp with time zone,timestamptz,YES,now(),8
COLUMN,homework,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,homework,reading_text,text,text,YES,null,10
COLUMN,homework,reading_text_zh,text,text,YES,null,11
COLUMN,homework,type,character varying,varchar,YES,'general'::character varying,12
COLUMN,homework,due_date,timestamp without time zone,timestamp,NO,null,13
COLUMN,homework,max_score,integer,int4,YES,100,14
COLUMN,homework,is_active,boolean,bool,YES,true,15
COLUMN,homework,created_at,timestamp without time zone,timestamp,YES,now(),16
COLUMN,homework,class_id,uuid,uuid,YES,null,2
COLUMN,homework,teacher_id,uuid,uuid,YES,null,3
COLUMN,homework,title,character varying,varchar,NO,null,4
COLUMN,homework,title_zh,character varying,varchar,YES,null,5
COLUMN,homework,description,text,text,YES,null,6
COLUMN,homework,description_zh,text,text,YES,null,7
COLUMN,homework,instructions,text,text,YES,null,8
COLUMN,homework,instructions_zh,text,text,YES,null,9
COLUMN,homework_submissions,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,homework_submissions,teacher_correction_audio,text,text,YES,null,10
COLUMN,homework_submissions,graded_at,timestamp without time zone,timestamp,YES,null,11
COLUMN,homework_submissions,graded_by,uuid,uuid,YES,null,12
COLUMN,homework_submissions,submitted_at,timestamp without time zone,timestamp,YES,now(),13
COLUMN,homework_submissions,updated_at,timestamp without time zone,timestamp,YES,now(),14
COLUMN,homework_submissions,homework_id,uuid,uuid,YES,null,2
COLUMN,homework_submissions,student_id,uuid,uuid,YES,null,3
COLUMN,homework_submissions,content,text,text,YES,null,4
COLUMN,homework_submissions,voice_recording,text,text,YES,null,5
COLUMN,homework_submissions,file_url,text,text,YES,null,6
COLUMN,homework_submissions,status,character varying,varchar,YES,'submitted'::character varying,7
COLUMN,homework_submissions,score,integer,int4,YES,null,8
COLUMN,homework_submissions,feedback,text,text,YES,null,9
COLUMN,hsk_audio_files,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,hsk_audio_files,transcript_source,character varying,varchar,YES,'none'::character varying,10
COLUMN,hsk_audio_files,transcription_status,character varying,varchar,YES,'pending'::character varying,11
COLUMN,hsk_audio_files,transcription_error,text,text,YES,null,12
COLUMN,hsk_audio_files,language,character varying,varchar,YES,'zh'::character varying,13
COLUMN,hsk_audio_files,speaker_count,integer,int4,YES,1,14
COLUMN,hsk_audio_files,created_at,timestamp without time zone,timestamp,YES,now(),15
COLUMN,hsk_audio_files,updated_at,timestamp without time zone,timestamp,YES,now(),16
COLUMN,hsk_audio_files,paper_id,uuid,uuid,YES,null,2
COLUMN,hsk_audio_files,filename,character varying,varchar,NO,null,3
COLUMN,hsk_audio_files,original_filename,character varying,varchar,YES,null,4
COLUMN,hsk_audio_files,file_url,text,text,YES,null,5
COLUMN,hsk_audio_files,file_size,integer,int4,YES,null,6
COLUMN,hsk_audio_files,duration,integer,int4,YES,null,7
COLUMN,hsk_audio_files,transcript,text,text,YES,null,8
COLUMN,hsk_audio_files,transcript_pinyin,text,text,YES,null,9
COLUMN,hsk_test_answers,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,hsk_test_answers,graded_at,timestamp without time zone,timestamp,YES,null,10
COLUMN,hsk_test_answers,answered_at,timestamp without time zone,timestamp,YES,now(),11
COLUMN,hsk_test_answers,attempt_id,uuid,uuid,YES,null,2
COLUMN,hsk_test_answers,question_id,uuid,uuid,YES,null,3
COLUMN,hsk_test_answers,student_answer,text,text,YES,null,4
COLUMN,hsk_test_answers,is_correct,boolean,bool,YES,null,5
COLUMN,hsk_test_answers,points_earned,numeric,numeric,YES,0,6
COLUMN,hsk_test_answers,teacher_score,numeric,numeric,YES,null,7
COLUMN,hsk_test_answers,teacher_feedback,text,text,YES,null,8
COLUMN,hsk_test_answers,graded_by,uuid,uuid,YES,null,9
COLUMN,hsk_test_attempts,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,hsk_test_attempts,percentage,numeric,numeric,YES,0,10
COLUMN,hsk_test_attempts,listening_score,numeric,numeric,YES,0,11
COLUMN,hsk_test_attempts,reading_score,numeric,numeric,YES,0,12
COLUMN,hsk_test_attempts,writing_score,numeric,numeric,YES,0,13
COLUMN,hsk_test_attempts,correct_count,integer,int4,YES,0,14
COLUMN,hsk_test_attempts,wrong_count,integer,int4,YES,0,15
COLUMN,hsk_test_attempts,unanswered_count,integer,int4,YES,0,16
COLUMN,hsk_test_attempts,created_at,timestamp without time zone,timestamp,YES,now(),17
COLUMN,hsk_test_attempts,student_id,uuid,uuid,NO,null,2
COLUMN,hsk_test_attempts,paper_id,uuid,uuid,YES,null,3
COLUMN,hsk_test_attempts,status,character varying,varchar,YES,'in_progress'::character varying,4
COLUMN,hsk_test_attempts,started_at,timestamp without time zone,timestamp,YES,now(),5
COLUMN,hsk_test_attempts,completed_at,timestamp without time zone,timestamp,YES,null,6
COLUMN,hsk_test_attempts,time_spent,integer,int4,YES,0,7
COLUMN,hsk_test_attempts,total_score,numeric,numeric,YES,0,8
COLUMN,hsk_test_attempts,max_score,numeric,numeric,YES,0,9
COLUMN,hsk_test_papers,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,hsk_test_papers,total_duration,integer,int4,YES,0,10
COLUMN,hsk_test_papers,listening_questions,integer,int4,YES,0,11
COLUMN,hsk_test_papers,reading_questions,integer,int4,YES,0,12
COLUMN,hsk_test_papers,writing_questions,integer,int4,YES,0,13
COLUMN,hsk_test_papers,is_active,boolean,bool,YES,true,14
COLUMN,hsk_test_papers,created_by,uuid,uuid,YES,null,15
COLUMN,hsk_test_papers,created_at,timestamp without time zone,timestamp,YES,now(),16
COLUMN,hsk_test_papers,updated_at,timestamp without time zone,timestamp,YES,now(),17
COLUMN,hsk_test_papers,name,character varying,varchar,NO,null,2
COLUMN,hsk_test_papers,name_zh,character varying,varchar,YES,null,3
COLUMN,hsk_test_papers,hsk_level,integer,int4,NO,null,4
COLUMN,hsk_test_papers,year,integer,int4,YES,null,5
COLUMN,hsk_test_papers,test_type,character varying,varchar,YES,'official'::character varying,6
COLUMN,hsk_test_papers,source,character varying,varchar,YES,null,7
COLUMN,hsk_test_papers,description,text,text,YES,null,8
COLUMN,hsk_test_papers,total_questions,integer,int4,YES,0,9
COLUMN,hsk_test_questions,id,uuid,uuid,NO,gen_random_uuid(),1
COLUMN,hsk_test_questions,audio_duration,integer,int4,YES,null,10
